Experiment,Created,Number of Documents,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,step,Coherence,Perplexity,RANDOM_SEED,train_data_path,test_data_path,procd_text,extract_sample.fraction,extract_sample.stratify_column,feature_engineering.bow,feature_engineering.tfidf,feature_engineering.ngram,feature_engineering.bert,feature_engineering.bert_pretrained_model,clustering_bert.algorithm,clustering_bert.num_clusters,clustering_bert.eps,clustering_bert.min_samples,topic_modeling.feature,topic_modeling.algorithm,topic_modeling.cluster,topic_modeling.num_topics
ghast-duct,03:31 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.5966585542463099,-16.029915772164987,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,lda,True,12.0
fazed-gape,03:21 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.42401724818655817,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,False,20.0
quasi-vane,03:20 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4360547253483598,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,False,18.0
bored-moxa,03:12 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.43261797394854695,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,False,16.0
tenth-lots,03:11 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4454952484670279,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,False,14.0
barer-curn,03:04 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.3661098089998013,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,True,20.0
bovid-tams,03:02 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.44865342696070387,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,False,12.0
jaggy-grip,02:53 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.3676727664365619,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,True,18.0
freed-zila,02:51 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.3596808147936282,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,True,16.0
keyed-yack,02:41 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.37451411273694235,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,bow,nmf,True,14.0
